# EVTDESC_SUFI_4090;I have decided to show my devotion to God and the order by taking a vow of celibacy.;J'ai décidé de montrer ma dévotion à Dieu et à l'ordre en faisant vœu de célibat.;Ich habe mich entschlossen, meine Hingabe an Gott und den Orden durch die Abgabe eines Keuschheitsgelübdes zu beweisen.;;He decidido jurar el voto de celibato como muestra de mi devoción por Dios.;;;;;;;;;x
# EVTOPT_SUFI_4090;Praise God!;Dieu soit loué !;Gepriesen sei Gott!;;¡Alabado sea Dios!;;;;;;;;;x
# EVTDESC_SUFI_4091;I have decided to stop my vow of celibacy and re-attend my duties to my family.;J'ai décidé de briser mon vœu de célibat et de remplir à nouveau mes devoirs envers ma famille.;Ich habe mich entschlossen, mein Keuschheitsgelübde zu beenden und mich wieder meinen Familienpflichten zuzuwenden.;;He decidido poner fin a mi voto de celibato para retomar mis obligaciones familiares.;;;;;;;;;x
EVTOPT_SUFI_4091;The ordeal is over.;Le supplice est terminé.;Die Qual ist zu Ende.;;Por fin se ha acabado esta tortura.;;;;;;;;;x
EVTOPTA_SUFI_4422;I am proud of you, my [interrupting_child.GetDaughterSon]!;Je suis fi[interrupting_child.GetErEre] de vous, m[interrupting_child.GetOnA] [interrupting_child.GetDaughterSon] !;Ich bin stolz auf dich, m[interrupting_child.Geteineine] [interrupting_child.GetDaughterSon]!;;¡Me enorgullezco de ti, [interrupting_child.GetDaughterSon]!;;;;;;;;;x
cruel_parent;Cruel Parent;Cruauté du parent;Grausame Eltern;;Progenitor cruel;;;;;;;;;x
EVTDESC_SUFI_4423;I read one of my favorite passages from [Root.Religion.GetScriptureName] to [interrupting_child.GetFirstName], although I could quickly tell [interrupting_child.GetSheHe] had no interest in the holy words. I then failed to engage my [interrupting_child.GetDaughterSon] in a conversation about the passage, so I considered myself defeated and sent [interrupting_child.GetHerHim] on [interrupting_child.GetHerHis] way.;J'ai lu un de mes passages préférés [Root.Get_du_Scripture][Root.Religion.GetScriptureName] à [interrupting_child.GetFirstName], bien que j'ai rapidement vu qu'[interrupting_child.GetIlElle] n'avait aucun goût pour les mots sacrés. J'ai ensuite échoué à l'engager dans une conversation au sujet du passage, alors je l'ai renvoyé[interrupting_child.GetNoneE].;Ich las [interrupting_child.GetFirstName] eine meiner Lieblingsstellen aus dem Werk "[Root.Religion.GetScriptureName]" vor, doch stellte bald fest, dass [interrupting_child.GetSheHe] kein Interesse an den heiligen Worten hatte. Danach gelang es mir nicht, m[interrupting_child.Geteineneine] [interrupting_child.GetDaughterSon] in ein Gespräch über den Abschnitt zu verwickeln, also gestand ich mir ein, dass ich versagt hatte, und schickte [interrupting_child.GetHerHim] davon.;;Le he leído uno de mis pasajes favoritos de las sagradas escrituras a [interrupting_child.GetFirstName], pero en seguida he visto que no le interesaba mucho el tema. No he conseguido que quisiera debatirlo conmigo después, así que me he rendido y le he dicho que se fuera.;;;;;;;;;x
EVTOPTA_SUFI_4423;My [interrupting_child.GetDaughterSon] has... other qualities.;M[interrupting_child.GetOnA] [interrupting_child.GetDaughterSon] a... d'autres qualités.;M[interrupting_child.Geteineine] [interrupting_child.GetDaughterSon] hat ... andere Qualitäten.;;Mi [interrupting_child.GetDaughterSon] tiene otras cualidades...;;;;;;;;;x
EVTDESC_SUFI_4424;I patiently explained to [interrupting_child.GetFirstName] that I was preoccupied with holy duties, and that I would return to court once they were finished. [interrupting_child.GetSheHeCap] did not understand the importance of my seclusion, most likely, although my gentle words made sure [interrupting_child.GetSheHe] was not hurt.;J'ai patiemment expliqué à [interrupting_child.GetFirstName] que j'étais préoccupé[Root.GetNoneE] par de saints devoirs, et que je retournerai à la cour une fois qu'ils seraient finis. [interrupting_child.GetIlElleCap] n'a pas compris l'importance de ma réclusion, très probablement, mais mes mots doux ont permis qu'[interrupting_child.GetIlElle] ne soit pas blessé[interrupting_child.GetNoneE].;Geduldig erklärte ich [interrupting_child.GetFirstName], dass ich mit heiligen Pflichten beschäftigt war, und dass ich wieder an den Hof zurückkehren würde, sobald ich sie beendet hatte. [interrupting_child.GetSheHeCap] konnte wahrscheinlich die Bedeutung meines Verweilens in Abgeschiedenheit nicht nachvollziehen, aber meine sanften Worte beruhigten [interrupting_child.GetHerHim].;;Le he explicado a [interrupting_child.GetFirstName] serenamente que me estaba ocupando de mis deberes sagrados y que volveré a la corte cuando haya acabado. Creo que no ha entendido del todo la importancia de mi reclusión, pero por lo menos he sabido medir las palabras para no hacerle daño.;;;;;;;;;x
EVTOPTA_SUFI_4424;I shall return to [Root.Religion.GetScriptureName].;Je retourne à ma lecture [Root.Get_du_Scripture][Root.Religion.GetScriptureName].;Ich werde mich wieder mit dem Werk "[Root.Religion.GetScriptureName]" befassen.;;Voy a retomar mi estudio de las sagradas escrituras.;;;;;;;;;x
EVTDESC_SUFI_4425;"I am preoccupied with my holy studies, [interrupting_child.GetFirstName], and I want no distractions! Go and find your [other_parent.GetFatherMother] and leave me to [Root.Religion.GetScriptureName]!" For an uncomfortably long moment, [interrupting_child.GetFirstName] just stared at me. Then, with a loud sob, [interrupting_child.GetSheHe] turned around and ran, leaving the door ajar.;« Je suis préoccupé[Root.GetNoneE] par mes saintes études, [interrupting_child.GetFirstName], et je ne veux pas de distractions ! Allez chercher votre [other_parent.GetFatherMother] et laissez avec [Root.Get_le_Scripture][Root.Religion.GetScriptureName] ! », dis-je. Pendant un moment long et inconfortable, [interrupting_child.GetFirstName] m'a juste regardé. Puis, dans un grand sanglot, [interrupting_child.GetIlElle] se retourna et courut, laissant la porte entrebâillée.;"Ich bin mit meinen heiligen Pflichten beschäftigt, [interrupting_child.GetFirstName], und ich will nicht gestört werden! Geh und suche deine[other_parent.GetnMale] [other_parent.GetFatherMother], damit ich mich wieder dem Werk "[Root.Religion.GetScriptureName]" zuwenden kann!" [interrupting_child.GetFirstName] starrte mich ungemütlich lange an. Dann schluchzte [interrupting_child.GetSheHe] einmal laut auf, drehte sich um, lief davon und ließ die Tür weit offen stehen.;;"Me estoy ocupando de mis deberes sagrados, [interrupting_child.GetFirstName]. ¡No me distraigas! Ve con tu [other_parent.GetFatherMother] y déjame estudiar las sagradas escrituras", le he dicho. Me ha mirado fijamente en silencio durante unos tensos segundos y ha roto a llorar antes de salir corriendo.";;;;;;;;;x
EVTOPTA_SUFI_4425;That came out wrong...;Ce n'est pas ce que je voulais...;Das hab ich nicht so gemeint ...;;Creo que no he manejado bien la situación.;;;;;;;;;x
EVTDESC_SUFI_4402_PENANCE;[Root.GetsufiMoGreeting], [Root.GetSocietyRank] [Root.GetFirstName]\n\nThe hectic life of a ruler rarely allows for sufficient time for contemplation. I ask of you to seclude yourself and think about your life and your actions – a sort of penance for your sins.\n\n[Root.GetsufiMoFarewell],\nSigned, [From.GetSocietyRank] [From.GetFirstName];[Root.GetsufiMoGreeting], [Root.GetSocietyRank] [Root.GetFirstName]\n\nLa vie trépidante de quelqu'un qui règne donne rarement suffisamment de temps pour la contemplation. Je vous demande de vous isoler et de penser à votre vie et à vos actions – une sorte de pénitence pour vos péchés. \n\n[Root.GetsufiMoFarewell],\nSigné, [From.GetSocietyRank] [From.GetFirstName];[Root.GetsufiMoGreeting], [Root.GetSocietyRank] [Root.GetFirstName],\n\ndas hektische Leben eines Herrschers lässt nicht viel Zeit für Meditation. Ich bitte Euch, Euch zurückzuziehen und über Euer Leben und Eure Taten nachzudenken – als eine Art Buße für Eure Sünden.\n\n[Root.GetsufiMoFarewell]\nGezeichnet, [From.GetSocietyRank] [From.GetFirstName];;[Root.GetsufiMoGreeting], [Root.GetSocietyRank] [Root.GetFirstName]:\n\nLa vida de un gobernante es frenética y no suele dejar tiempo para la contemplación. Te pido que te recluyas y reflexiones acerca de tu vida y tus actos. Que hagas penitencia por tus pecados.\n\n[Root.GetsufiMoFarewell],\nFirmado: [From.GetSocietyRank] [From.GetFirstName];;;;;;;;;x
EVTDESC_SUFI_4402_MEDITATION;[Root.GetsufiMoGreeting], [Root.GetSocietyRank] [Root.GetFirstName]\n\nThe hectic life of a ruler rarely allows for sufficient time for contemplation. I ask of you to seclude yourself and think about the universe and your place in it. Awareness is the first step to freedom, [Root.GetSocietyRank].\n\n[Root.GetsufiMoFarewell],\nSigned, [From.GetSocietyRank] [From.GetFirstName];[Root.GetsufiMoGreeting], [Root.GetSocietyRank] [Root.GetFirstName] \n\nLa vie trépidante de quelqu'un qui règne donne rarement suffisamment de temps pour la contemplation. Je vous demande de vous isoler et de penser à l'univers et à votre place en lui. La conscience est la première étape vers la liberté, [Root.GetSocietyRank]. \n[Root.GetsufiMoFarewell],\nSigné, [From.GetSocietyRank] [From.GetFirstName];[Root.GetsufiMoGreeting], [Root.GetSocietyRank] [Root.GetFirstName],\n\ndas hektische Leben eines Herrschers lässt nicht viel Zeit für Meditation. Ich bitte Euch, Euch zurückzuziehen und über das Universum und Euren Platz darin nachzudenken. Erkenntnis ist der erste Schritt zur Freiheit.\n\n[Root.GetsufiMoFarewell]\nGezeichnet, [From.GetSocietyRank] [From.GetFirstName];;[Root.GetsufiMoGreeting], [Root.GetSocietyRank] [Root.GetFirstName]:\n\nLa vida de un gobernante es frenética y no suele dejar tiempo para la contemplación. Te pido que te recluyas y reflexiones acerca del universo y de tu lugar dentro de él. La conciencia es el primer paso hacia la libertad, [Root.GetSocietyRank].\n\n[Root.GetsufiMoFarewell],\nFirmado: [From.GetSocietyRank] [From.GetFirstName];;;;;;;;;x
EVTDESC_SUFI_4403;Today, my seclusion begins. I have selected a simple chamber in the [Root.GetCapitalHolding] where I will spend most of my time during the coming months. Within those bare walls, I shall do my prayers, read [Root.Religion.GetScriptureName] and contemplate my life and actions.;Aujourd'hui, ma réclusion commence. J'ai choisi une chambre simple dans [Root.GetCapitalHolding] où je vais passer la plupart de mon temps au cours des prochains mois. Entre ces murs, faire la prière, lire [Root.Get_le_Scripture][Root.Religion.GetScriptureName] et contempler ma vie et mes actions sera mon quotidien.;Heute beginnt meine Zeit in Abgeschiedenheit. Ich habe ein einfaches Zimmer in meiner Residenz ausgewählt, wo ich während der kommenden Monate die meiste Zeit verbringen werde. Innerhalb dieser Wände werde ich meine Gebete sprechen, "[Root.Religion.GetScriptureName]" lesen und über mein Leben und meine Taten meditieren.;;Hoy empieza mi reclusión. He elegido una estancia sencilla en el/la [Root.GetCapitalHolding] donde pasaré la mayor parte del tiempo en los próximos meses. Sus paredes desnudas me ayudarán a concentrarme en mis plegarias, en las sagradas escrituras y me permitirán reflexionar sobre mi vida y mis actos.;;;;;;;;;x
EVTOPTA_SUFI_4403_GOD;[Root.GetsufiMoGod] shall be my companion.;[Root.GetsufiMoGod] m'accompagnera.;[Root.GetsufiMoGod] wird mich begleiten.;;[Root.GetsufiMoGod] me hará compañía.;;;;;;;;;x
EVTOPTA_SUFI_4403_NOGOD;In solitude there is peace.;Dans la solitude se trouve la paix.;In Einsamkeit steckt Friede.;;La soledad proporciona paz.;;;;;;;;;x
monastic_order_meditation_sufi;Begin Secluded Meditation;Se reclure pour méditer;Abgeschiedene Meditation beginnen;;Iniciar la meditación en reclusión;;;;;;;;;x
monastic_order_meditation_sufi_desc;§Y[Root.GetTitledFirstName]§! can seclude [Root.GetHerselfHimself] and meditate upon their life and the universe to move closer towards spiritual enlightenment.;[Root.Get_Le_Title]§Y[Root.GetTitledFirstName]§! peut se reclure et méditer sur sa vie et l'univers pour se rapprocher de l'illumination spirituelle.;§Y[Root.GetTitledFirstName]§! kann sich in Abgeschiedenheit zurückziehen und über [Root.GetHerHis] Leben und das Universum nachdenken, um der spirituellen Erleuchtung näher zu kommen.;;§Y[Root.GetTitledFirstName]§! puede recluirse y meditar acerca de su vida y el universo para acercarse a la iluminación espiritual.;;;;;;;;;x
monastic_order_meditation_sufi_allow_tt;§Y[Root.GetTitledFirstName]§! has not secluded [Root.GetHerselfHimself] to meditate recently.\n;[Root.Get_Le_Title]§Y[Root.GetTitledFirstName]§! ne s'est pas reclus[Root.GetNoneE] récemment pour méditer.\n;§Y[Root.GetTitledFirstName]§! hat sich seit einer Weile nicht zurückgezogen, um zu meditieren.\n;;§Y[Root.GetTitledFirstName]§! no se ha recluido para meditar últimamente.\n;;;;;;;;;x
EVTDESC_SUFI_4426_A;I have spent the entire day saying prayers in deep concentration. During the first hours I noticed nothing out of the ordinary, although at some point I lost track of time and entered a dreamlike state. There was nothing but the holy words passing through my lips, and they rang true as the sweetest music.;J'ai passé toute la journée à faire la prière avec une profonde concentration. Durant les premières heures, je n'ai rien remarqué d'inhabituel, mais à un moment donné, j'ai perdu la notion du temps et suis entré[Root.GetNoneE] dans un état onirique. Il n'y avait rien d'autre que les saintes paroles qui passaient par mes lèvres et elles sonnaient vraies comme la plus douce des musiques.;Ich habe den ganzen Tag damit verbracht, in tiefer Konzentration Gebete zu sprechen. In den ersten Stunden ist mir nichts Besonderes aufgefallen, obwohl ich irgendwann das Zeitgefühl verlor und in einen traumartigen Zustand verfiel. Es gab nichts als die heiligen Worte, die über meine Lippen kamen, und sie klangen so rein wie die süßeste Musik.;;Me he pasado el día recitando plegarias con una gran concentración. Las primeras horas pasaron con normalidad, pero de repente perdí la noción del tiempo y entré en un estado onírico. Solo existían las palabras que pronunciaba y sonaban tan reales como una melodía maravillosa.;;;;;;;;;x
EVTDESC_SUFI_4426_B;There is a bountiful well of wisdom in [Root.Religion.GetScriptureName]. Today, I have uncovered new meanings in several passages which I have previously never given much thought. I shall take these lessons to heart and carry them with me, no matter where life takes me. Mark my words, [Root.Religion.GetScriptureName] is truly is a book of wonders!;Il y a dans [Root.Get_le_Scripture][Root.Religion.GetScriptureName] un puits de sagesse sans fond. Aujourd'hui, j'ai découvert de nouvelles significations dans plusieurs passages sur lesquels je ne m'étais jamais penché. Je vais prendre ces leçons à cœur et les garder avec moi, peu importe où la vie me mènera. C'est vraiment un livre de merveilles !;"[Root.Religion.GetScriptureName]" enthält einen Reichtum an Weisheit. Heute habe ich in einigen Abschnitten, an die ich zuvor nie viele Gedanken verschwendete, neue Bedeutungen erkannt. Ich werde mir diese Lektionen zu Herzen nehmen und sie bei mir tragen, egal, wohin das Leben mich verschlägt. "[Root.Religion.GetScriptureName]" ist wahrlich ein Buch der Wunder!;;Las sagradas escrituras son un pozo abundante de sabiduría. Hoy he descubierto nuevos significados en pasajes a los que no les había dedicado mucho tiempo. Voy a tomarme estas lecciones en serio y a llevarlas siempre conmigo en cada situación que se presente. ¡Las sagradas escrituras son un regalo divino!;;;;;;;;;x
EVTDESC_SUFI_4426_C;Today has been a day of new insights and revelations. In my seclusion I have had plenty of time to think about my actions, my life and my place in this world. Things I had never thought about before suddenly became so clear.;La journée a été émaillée de nouvelles idées et de révélations. Dans ma solitude, j'ai eu beaucoup de temps pour penser à mes actes, ma vie et ma place dans ce monde. Des choses auxquelles je n'avais jamais pensé avant et qui à présent sont devenues très claires.;Heute war ein Tag der Erkenntnisse und Offenbarungen. An meinem abgelegenen Ort hatte ich genug Zeit, über meine Taten, mein Leben und meinen Platz in dieser Welt nachzudenken. Dinge, über die ich nie zuvor nachgedacht hatte, wurden mir plötzlich ganz klar.;;Hoy he recibido nuevas ideas y revelaciones. He tenido tiempo de sobra para pensar en mis actos y en mi lugar en el mundo. Cosas en las que nunca había reparado se han presentado ante mis ojos con gran claridad.;;;;;;;;;x
# EVTOPTA_SUFI_4426_GOD;[Root.GetsufiMoGod] has shown me the light!;[Root.GetsufiMoGod] m'a montré la lumière !;[Root.GetsufiMoGod] hat mir das Licht gezeigt!;;¡[Root.GetsufiMoGod] me ha hecho ver la luz!;;;;;;;;;x
# EVTOPTA_SUFI_4426_NOGOD;Today my awareness has truly expended.;Aujourd'hui, ma prise de conscience a vraiment fait un bond.;Heute hat sich meine Wahrnehmung wahrlich erweitert.;;Hoy he logrado expandir mi conciencia.;;;;;;;;;x
EVTDESC_SUFI_4428;[Root.GetsufiMoGreeting], [Root.GetSocietyRank] [Root.GetFirstName]\nWe are pleased with your progress. During the time you spent in contemplative seclusion you have taken a great step on the path of [Root.GetsufiMoCode]. Hereby I declare your mission completed.\n\nSigned, [From.GetSocietyRank] [From.GetFirstName].;[Root.GetsufiMoGreeting], [Root.GetSocietyRank] [Root.GetFirstName]\n\nNous sommes heureux de vos progrès. Pendant votre réclusion contemplative, vous avez fait un grand pas sur la voie de [Root.GetsufiMoCode]. Je déclare votre mission achevée.\n\nSigné, [From.GetSocietyRank] [From.GetFirstName].;[Root.GetsufiMoGreeting], [Root.GetSocietyRank] [Root.GetFirstName],\nwir sind erfreut über Euren Fortschritt. In Eurer Zeit in meditativer Abgeschiedenheit habt Ihr einen großen Schritt auf dem Weg von [Root.GetsufiMoCodedemder] getan. Ich erkläre Eure Mission hiermit für beendet.\n\nGezeichnet, [From.GetSocietyRank] [From.GetFirstName].;;[Root.GetsufiMoGreeting], [Root.GetSocietyRank] [Root.GetFirstName]:\nNos complace ver tu progreso. Durante tu reclusión has avanzado mucho en la senda de [Root.GetsufiMoCode]. Por la presente declaro que has completado tu misión.\n\nFirmado: [From.GetSocietyRank] [From.GetFirstName];;;;;;;;;x
EVTOPTA_SUFI_4428;You honor me, [From.GetSocietyRank];C'est un honneur, [From.GetSocietyRank];Ihr ehrt mich, [From.GetSocietyRank];;Me honras, [From.GetSocietyRank].;;;;;;;;;x
EVTDESC_SUFI_4429;To [Root.GetSocietyRank] [Root.GetFirstName]\nI have heard some disturbing tales regarding your time in holy seclusion, [Root.GetSocietyRank]. I fear that you are not yet ready for the contemplation I expected of you. We will revisit this mission at a later date, but for the time being, I must consider this a failure.\n\nSigned, [From.GetSocietyRank] [From.GetFirstName];[Root.GetSocietyRank] [Root.GetFirstName],\nJ'ai entendu des histoires troublantes concernant votre temps passé en sainte réclusion, [Root.GetSocietyRank]. J'ai peur que vous ne soyez pas prêt[Root.GetNoneE] pour la méditation que j'attendais de vous. Nous reverrons cette mission ultérieurement, mais pour le moment je dois considérer cette date comme un échec.\n\nSigné, [From.GetSocietyRank] [From.GetFirstName];An [Root.GetSocietyRank] [Root.GetFirstName],\nich habe einige verstörende Geschichten über Eure Zeit in Abgeschiedenheit vernommen, [Root.GetSocietyRank]. Ich fürchte, Ihr seid noch nicht bereit für die Meditation, die ich von Euch erwartet habe. Wir werden diese Mission später wiederaufnehmen, aber fürs Erste gilt sie als gescheitert.\n\nGezeichnet, [From.GetSocietyRank] [From.GetFirstName];;[Root.GetSocietyRank] [Root.GetFirstName]:\nMe han llegado relatos inquietantes acerca de tu reclusión espiritual. Me temo que me he precipitado al sugerir que te recluyeras. Retomaremos esta misión en el futuro, pero, por ahora, debemos asumir el fracaso.\n\nFirmado: [From.GetSocietyRank] [From.GetFirstName];;;;;;;;;x
EVTOPTA_SUFI_4429;I have failed you, [From.GetSocietyRank].;Je vous ai laissé tomber, [From.GetSocietyRank].;Ich habe Euch enttäuscht, [From.GetSocietyRank].;;Te he fallado, [From.GetSocietyRank].;;;;;;;;;x
EVTDESC_SUFI_4430;[Root.holy_seclusion_points.GetName]: [Root.holy_seclusion_points.GetValue];[Root.holy_seclusion_points.GetName]: [Root.holy_seclusion_points.GetValue];[Root.holy_seclusion_points.GetName]: [Root.holy_seclusion_points.GetValue];;[Root.holy_seclusion_points.GetName]: [Root.holy_seclusion_points.GetValue];;;;;;;;;x
# EVTDESC_SUFI_4435;[Root.GetsufiMoGreeting], [Root.GetSocietyRank] [Root.GetFirstName]\nYou have impressed us all with your noble rule and adherence to [Root.GetsufiMoCode]. As a reward for your recent advancement to the rank of [Root.GetSocietyRank], I have sent you one of [Root.GetsufiMoSaint]'s finger bones. Protect this holy relic with your life.\n\nSigned, [From.GetSocietyRank] [From.GetFirstName];[Root.GetsufiMoGreeting], [Root.GetSocietyRank] [Root.GetFirstName]\nVous nous avez tous impressionnés avec votre noble règne et votre respect pour [Root.GetsufiMoCode]. En récompense à votre promotion au rang d[Root.Get_e_SocietyRank][Root.GetSocietyRank], je vous ai fait parvenir un os de doigt ayant appartenu à [Root.GetsufiMoSaint]. Protégez cette sainte relique de votre vie.\n\nSigné, [From.GetSocietyRank] [From.GetFirstName];[Root.GetsufiMoGreeting], [Root.GetSocietyRank] [Root.GetFirstName],\nIhr habt uns alle mit Eurem noblen Verhalten und Eurer Einhaltung von [Root.GetsufiMoCodedemder] beeindruckt. Als Belohnung für Euren jüngsten Aufstieg in den Rang "[Root.GetSocietyRank]" habe ich Euch einen der "[Root.GetsufiMoSaint]"-Fingerknochen geschickt. Schützt dieses heilige Relikt mit Eurem Leben.\n\nGezeichnet, [From.GetSocietyRank] [From.GetFirstName];;[Root.GetsufiMoGreeting], [Root.GetSocietyRank] [Root.GetFirstName]:\nNos han impresionado tu noble manera de gobernar y tu adhesión a [Root.GetsufiMoCode]. Como recompensa por haber alcanzado el rango de [Root.GetSocietyRank], te hemos enviado una falange de [Root.GetsufiMoSaint]. Protege esta reliquia sagrada con tu vida.\n\nFirmado: [From.GetSocietyRank] [From.GetFirstName];;;;;;;;;x
EVTDESC_SUFI_4011;[Root.GetsufiMoGreeting], [Root.GetSocietyRank] [Root.GetFirstName]\n\n[Root.Society.GetNameCap] is in need of more funds to maintain charitable functions. We hope you are able to spare some of your worldly wealth to help us on this holy mission.\n\n[Root.GetsufiMoFarewell],\nSigned, [From.GetSocietyRank] [From.GetFirstName];[Root.GetsufiMoGreeting], [Root.GetSocietyRank] [Root.GetFirstName]\n\n[Root.Get_Le_Society][Root.Society.GetName] a besoin de plus de fonds pour maintenir ses activités de bienfaisance. Nous espérons que vous soyez capable de vous passer d'une partie de vos richesses afin de nous aider dans cette sainte mission.\n\n[Root.GetsufiMoFarewell],\nSigné, [From.GetSocietyRank] [From.GetFirstName];[Root.GetsufiMoGreeting], [Root.GetSocietyRank] [Root.GetFirstName],\n\nder "[Root.Society.GetNameCap]"-Zirkel benötigt mehr Geld, um seine wohltätigen Funktionen aufrechtzuerhalten. Wir hoffen, Ihr könnt einen Teil Eurer weltlichen Reichtümer erübrigen, um uns bei dieser heiligen Mission zu unterstützen.\n\n[Root.GetsufiMoFarewell]\nGezeichnet, [From.GetSocietyRank] [From.GetFirstName];;[Root.GetsufiMoGreeting], [Root.GetSocietyRank] [Root.GetFirstName]:\n\n[Root.Society.GetNameCap] necesita más fondos para seguir desempeñando funciones caritativas. Esperamos que puedas invertir parte de tus bienes terrenales para contribuir a nuestra sagrada misión.\n\n[Root.GetsufiMoFarewell],\nFirmado: [From.GetSocietyRank] [From.GetFirstName];;;;;;;;;x
EVTDESC_SUFI_4015;[Root.GetsufiMoGreeting], [Root.GetSocietyRank] [Root.GetFirstName]\n\nIt has been brought to our attention that you are perhaps not spending the appropriate effort on matters of theology. We would like to encourage you to set aside your worldly worries and focus on matters divine in nature.\n\n[Root.GetsufiMoFarewell],\nSigned, [From.GetSocietyRank] [From.GetFirstName];[Root.GetsufiMoGreeting], [Root.GetSocietyRank] [Root.GetFirstName]\n\nIl a été porté à notre attention que vous ne feriez pas l'effort nécessaire sur les questions théologiques. Nous aimerions vous encourager à mettre de côté les soucis de ce monde et à vous concentrer sur des questions de nature divine.\n\n[Root.GetsufiMoFarewell],\nSigné, [From.GetSocietyRank] [From.GetFirstName];[Root.GetsufiMoGreeting], [Root.GetSocietyRank] [Root.GetFirstName],\n\nes ist uns zu Ohren gekommen, dass Ihr unter Umständen nicht alles unternehmt, um Euch auf das Studium der Theologie zu konzentrieren. Wir möchten Euch darin bestärken, Eure weltlichen Sorgen beiseitezulegen, um Euch um Angelegenheiten göttlicher Natur zu kümmern.\n\n[Root.GetsufiMoFarewell]\nGezeichnet, [From.GetSocietyRank] [From.GetFirstName];;[Root.GetsufiMoGreeting], [Root.GetSocietyRank] [Root.GetFirstName]:\n\nTenemos la sospecha de que podrías no estar esforzándote lo suficiente en tus labores teológicas. Te animamos a que olvides tus preocupaciones mundanas y te concentres en los asuntos divinos.\n\n[Root.GetsufiMoFarewell],\nFirmado: [From.GetSocietyRank] [From.GetFirstName];;;;;;;;;x
# EVTDESC_SUFI_4019;[Root.GetsufiMoGreeting], [Root.GetSocietyRank] [Root.GetFirstName]\n\nThe Order and [Root.Religion.GetHighGodName] cares much for the souls of our members. As such we would like to advise you to go on a pilgrimage, since you have not yet done so.\n\n[Root.GetsufiMoFarewell],\nSigned, [From.GetSocietyRank] [From.GetFirstName];[Root.GetsufiMoGreeting], [Root.GetSocietyRank] [Root.GetFirstName]\n\nL'Ordre et [Root.Get_le_HighGod][Root.Religion.GetHighGodName] s'intéressent beaucoup aux âmes de nos membres. À ce titre, nous vous conseillons de partir en pèlerinage, puisque vous ne l'avez pas encore fait.\n\n[Root.GetsufiMoFarewell],\nSigné, [From.GetSocietyRank] [From.GetFirstName];[Root.GetsufiMoGreeting], [Root.GetSocietyRank] [Root.GetFirstName],\n\ndem Orden wie auch [Root.Religion.GetHighGodNameCap] liegt das seelische Wohlergehen unserer Mitglieder sehr am Herzen. Wir möchten Euch daher empfehlen, auf eine Pilgerreise zu gehen, da Ihr das bisher unterlassen habt.\n\n[Root.GetsufiMoFarewell]\nGezeichnet, [From.GetSocietyRank] [From.GetFirstName];;[Root.GetsufiMoGreeting], [Root.GetSocietyRank] [Root.GetFirstName]:\n\n A [Root.Religion.GetHighGodNameCap] y a la orden les preocupan mucho las almas de los miembros. Por ello, te aconsejamos que hagas tu primera peregrinación.\n\n[Root.GetsufiMoFarewell],\nFirmado: [From.GetSocietyRank] [From.GetFirstName];;;;;;;;;x
EVTDESC_SUFI_4023;[Root.GetsufiMoGreeting], [Root.GetSocietyRank] [Root.GetFirstName]\n\nBringing the True Faith and salvation to others is among the holiest of duties. Therefore we ask of you to construct a new [Root.GetHouseOfWorship] in your lands so your subjects may have somewhere to say prayers and worship.\n\n[Root.GetsufiMoFarewell],\nSigned, [From.GetSocietyRank] [From.GetFirstName];[Root.GetsufiMoGreeting], [Root.GetSocietyRank] [Root.GetFirstName]\n\nApporter la vraie foi et le salut aux autres est un des plus saints devoirs. Nous vous demandons donc de construire [Root.GetHouseOfWorshipUnUne] dans vos terres afin que vos sujets puissent avoir un endroit pour faire la prière.\n\n[Root.GetsufiMoFarewell],\nSigné, [From.GetSocietyRank] [From.GetFirstName];[Root.GetsufiMoGreeting], [Root.GetSocietyRank] [Root.GetFirstName],\n\nanderen den wahren Glauben und die Erlösung zu bringen, ist eine der heiligsten Pflichten. Wir tragen Euch daher auf, [Root.GetHouseOfWorshipeineneine] in Euren Ländern zu errichten, sodass Eure Untertanen einen Ort haben, an dem sie ihre Gebete sprechen können.\n\n[Root.GetsufiMoFarewell]\nGezeichnet, [From.GetSocietyRank] [From.GetFirstName];;[Root.GetsufiMoGreeting], [Root.GetSocietyRank] [Root.GetFirstName]:\n\nUno de nuestros deberes más sagrados es guiar a los demás hacia la verdadera fe y la salvación. Te pedimos que construyas un nuevo templo en tus tierras para que tus súbditos tengan un lugar donde rendir culto.\n\n[Root.GetsufiMoFarewell],\nFirmado: [From.GetSocietyRank] [From.GetFirstName];;;;;;;;;x
