#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTOPTC91355;Maybe I can appeal to [From.GetHerHis] greedy side...;Peut-être pourrai-je faire appel à son côté cupide...;Vielleicht nützt mir [From.GetHerHis] Gier ...;;Tal fez puedo atraer a [From.GetHerHis] lado codicioso;;;;;;;;;x
ERA_CHAR_INFO_170258;Muhammad II was the head of the Tughluq dynasty, which had carved out a vast Muslim empire in India. Under him, the empire initially expanded to temporarily control most of India, but it was not to last. Muhammad had a well-earned reputation for ruthlessness and cruelty, and taxes in his empire were raised to exorbitant levels. He had to contend with numerous revolts, and by the time of his death the realm had already begun to fragment.;Mohammed II fut le chef de la dynastie Tughluq, qui avait créé un grand empire musulman en Inde. Sous son règne, l'empire s'agrandit pour contrôler temporairement la majeure partie de l'Inde, mais cela ne dura pas. Mohammed possédait une réputation bien méritée d'homme cruel et impitoyable et ses sujets croulaient sous les impôts. Il devait composer avec de nombreuses révoltes et à sa mort, l'empire avait déjà commencé à se fragmenter.;Muhammad II. war das Oberhaupt der Tughluq-Dynastie, die in Indien ein großes islamisches Reich gründete. Ihm gelang es, die Kontrolle über einen Großteil Indiens zu übernehmen. Doch dies sollte nicht von Dauer sein. Muhammad erwarb sich einen wohlverdienten Ruf als rücksichtsloser und grausamer Herrscher, der die Steuern in seinem Reich auf exorbitante Höhen schraubte. Er musste viele Revolten niederschlagen und bereits zum Zeitpunkt seines Todes zeigte sein Reich Auflösungserscheinungen.;;Muhammad II fue el cabeza de la dinastía tughlúquida, que había creado un vasto imperio musulmán en la India. Con él, en un principio el imperio se expandió y temporalmente controló la mayor parte de la India, pero no duró. Muhammad se había ganado la reputación de cruel y despiadado, y los impuestos, en su imperio, alcanzaron niveles exorbitantes. Tuvo que contener numerosas revueltas, y para cuando él falleció, el reino ya había empezado a fragmentarse.;;;;;;;;;x
ERA_SELECTION_TEXT;Each era will offer you different challenges and a different flavor. Here are some of the highlights of each:\n- Early Middle Ages: Carolingian Empire, Picts, the first Viking raids, founding of the Holy Roman Empire, Byzantine Iconoclasm.\n- Viking Age: Viking realms, Jewish Khazars, Carolingian successor kingdoms, Umayyads and Rashtrakutas.\n- High Middle Ages: William the Conqueror, Seljuk Turks, Kievan Rus, splintered realms in Spain and Rajastan. Latest start with a strong Byzantium.\n- Age of the Mongols: Golden Horde, Ilkhanate, Muslim Ghulams in India.\n- Late Middle Ages: Hundred Years War, Ottomans, Lithuania, Mongol Khanates, Tughluq Dynasty, Christian Spain.;Chaque époque vous propose des défis et une atmosphère uniques. Voici quelques exemples :\n- Le haut Moyen Âge : l'Empire carolingien, les Pictes, les premières attaques des Vikings, la fondation du Saint-Empire romain germanique, les iconoclastes byzantins/\n- L'ère des Vikings : les royaumes vikings, les Khazars juifs, les royaumes carolingiens, les Omeyyades, les Rashtrakutas.\n- Le Moyen Âge central : Guillaume le Conquérant, les Turcs seldjouks, la Rus de Kiev, les royaumes divisés d'Espagne et du Rajastan. Un début tardif pour un Empire byzantin puissant.\n- L'ère des Mongols : la Horde d'or, l'Ilkhanat, les Ghulams musulmans d'Inde.\n- Le bas Moyen Âge : la guerre de Cent Ans, les Ottomans, la Lituanie, les Khanats mongols, la dynastie des Tughluq, l'Espagne chrétienne.;Jedes Zeitalter bietet verschiedene Herausforderungen und Besonderheiten. Hier einige interessante Beispiele\n - Frühmittelalter: Karolingerreich, Pikten, die ersten Wikingerüberfälle, Gründung des Heiligen Römischen Reiches, byzantinischer Ikonoklasmus.\n - Wikingerzeitalter: Wikingerreiche, jüdisches Khasarenreich, Nachfolgestaaten des Karolingerreiches, Umayyaden und Rashtrakuta.\n - Hochmittelalter: Wilhelm der Eroberer, seldschukische Türken, Kiewer Rus, Splitterstaaten in Spanien und Radschastan. Spätester Start mit starkem Byzanz.\n - Mongolenzeitalter: Goldene Horde, Ilkhanat, muslimische Ghulam in Indien.\n - Spätmittelalter: Hundertjähriger Krieg, Osmanen, Litauen, Mongolen, Tughluq-Dynastie, christliches Spanien.;;Cada época te presentará diferentes retos y una experiencia diferente. Aquí encontrarás algunos de los destacados de cada uno:\n- Temprana Edad Media: Imperio Carolingio, Pictos, las primeras incursiones vikingas, creación del Sacro Imperio Romano, iconoclasía bizantina.\n- Época Vikinga: reinos vikingos, Jázaros judíos, reinos sucesorios carolingios, Omeyas y Rashtrakutas.\n- Plena Edad Media: Guilermo el Conquistador, Turcos Selyúcidas, la Rus de Kiev, fragmentación de los reinos de España y Rajastán. La parte final de esta era empieza con un poderoso Bizancio.\n Época de los Mongoles: Horda Dorada, Ilkanato, Ghulam muslmanes en la India.\n- Crisis de la Edad Media: La Guerra de los Cien Años, otomanos, Lituania, Kanatos Mongoles, dinastia tughlúquida, España cristiana.;;;;;;;;;x
convert_to_parent_religion;Abandon Heresy;Abandonner l'hérésie;Häresie aufgeben;;Abandonar Herejía;;;;;;;;;x
raise_tribal_units;Raise Tribal Army;Lever une armée tribale;Stammesarmee rekrutieren;;Armar Ejército Tribal;;;;;;;;;x
raise_tribal_units_desc;I can summon an army of true and steadfast [Root.Culture.GetName] warriors to fight in the war. They will surely come, as my Prestige and Influence in these lands are great, but once peace ensues they will return to their homes. They fight mainly for honor, but I will need to pay for their food and other provisions.;Je peux lever une armée de guerriers de culture [Root.Culture.GetName] fiables et tenaces pour combattre dans cette guerre. Ils viendront certainement car mon prestige et mon influence dans ces terres sont grands, mais si la paix survient, ils rentreront chez eux. Ils se battent principalement pour l'honneur, mais je devrai payer leur nourriture et leur approvisionnement.;Ich kann für den Krieg eine Armee aus treuen und standhaften [Root.Culture.GetName] Kriegern aufstellen. Mit Sicherheit werden sie mir folgen, denn mein Prestige und mein Einfluss in diesen Landen ist groß. Doch sobald Frieden herrscht, werden sie nach Hause zurückkehren. Sie kämpfen primär für die Ehre, allerdings muss ich für Verpflegung und Unterhalt aufkommen.;;Puedo convocar un ejército de verdaderos e incondicionales guerreros [Root.Culture.GetName] para luchar en la guerra. Acudirán con certeza, ya que en estas tierras tengo mucho Prestigio e Influencia, pero cuando llegue la paz regresarán a sus hogares. Lucharán por honor, pero yo tendré que pagarles su manutención y otras provisiones.;;;;;;;;;x
EXPENSE_EVENT_LEVIES;Hired Event Army Maintenance;A engagé l'entretien de l'armée de réserve;Unterhalt für angeworbene Event-Armee;; Evento Contratado Ejército Mantenimiento;;;;;;;;;x
EXPENSE_EVENT_FLEETS;Hired Event Navy Maintenance;A engagé l'entretien de la flotte de réserve;Unterhalt für angeworbene Event-Flotte;;Evento Contratado Ejército Mantenimiento;;;;;;;;;x
HIRED_COSTS;Mercenary Maintenance: §Y$MERC$§!\nEvent Troop Maintenance: §Y$EVENT$§!;Entretien des mercenaires : §Y$MERC$§!\nEntretien des troupes réservistes : §Y$EVENT$§!;Söldnerunterhalt: §Y$MERC$§!\nEvent-Truppen-Unterhalt: §Y$EVENT$§!;;      Mantenimiento Mercenarios: §Y$MERC$§!\nMantenimiento Acciones de las Tropas: §Y$EVENT$§!;;;;;;;;;x
SPAWN_UNIT_EFFECT_MAINTENANCE;(Monthly Maintenance: §R$COST$§!);(Entretien mensuel : §R$COST$§!);(Monatlicher Unterhalt: §R$COST$§!);;(Mantenimiento Mensual: §R$COST$§!);;;;;;;;;x
SPAWN_UNIT_EFFECT;A §Y$NUM_TROOPS$§!-man regiment arrives in §Y$WHERE$§!.;Un régiment fort de §Y$NUM_TROOPS$§! hommes arrive en §Y$WHERE$§!.;Ein §Y$NUM_TROOPS$§! Mann starkes Regiment erreicht §Y$WHERE$§!.;;Un regimiento de ßY$NUM_TROOPS$ß! personas llega a ßY$WHERE$ß!.;;;;;;;;;x
SPAWN_UNIT_EFFECT_SHIPS;§Y$NUM_SHIPS$§! ships arrive in §Y$WHERE$§!.;Une flotte forte de §Y$NUM_SHIPS$§! navires arrive en §Y$WHERE$§!.;§Y$NUM_SHIPS$§! Schiffe erreichen §Y$WHERE$§!.;;ßY$NUM_SHIPS$ß! barcos llegan a ßY$WHERE$ß!.;;;;;;;;;x
nick_the_hunchback;the Hunchback;le Bossu;der Bucklige;;el Jorobado;;;;;;;;;x
EVTDESC_CM_1040;Your son Pepin is illegitimate, but perhaps he could grow into a man worthy of ruling the Franks? His body is twisted and he looks frail, but a boy that overcomes such unfair punishments in life could perhaps with time become an even stronger ruler?;Votre fils Pépin est illégitime, mais peut-être réussira-t-il à devenir digne de diriger les Francs ? Son corps est tordu et il semble fragile, mais un garçon qui dépasse une punition si injuste pourrait devenir un souverain encore plus puissant.;Euer Sohn Pippin ist unehelich, doch vielleicht könnte aus ihm ein würdiger fränkischer Herrscher werden. Sein Körper ist verwachsen und der Junge scheint schwächlich, doch wenn er sich im Leben gegenüber solchen Widernissen durchsetzen kann, würde dann nicht ein besonders starker Herrscher aus ihm?;;Tu hijo Pipino es ilegítimo, pero ¿podría quizá llegar a convertirse en un hombre merecedor de gobernar a los francos? Su cuerpo se retuerce y se ve frágil, pero un niño que vence este tipo de castigos injustos en la vida ¿podría tal vez con el tiempo convertirse en un gobernante aún más fuerte?;;;;;;;;;x
EVTOPTA_CM_1040;I will legitimize him!;Je le reconnaîtrai comme l'un des miens !;Ich werde ihn legitimieren!;;¡Le legitimaré!;;;;;;;;;x
EVTOPTB_CM_1040;I think not.;Non, vraiment pas.;Ich glaube nicht.;;Pienso que no;;;;;;;;;x
EVTOPTB_CM_1100;Leave them alone for now.;Laissez-les tranquilles pour le moment.;Lasst sie fürs Erste in Ruhe.;;Ahora, dejales en paz;;;;;;;;;x
EVTTITLE_CM_1003;The death of [From.GetFirstName];La mort de [From.GetFirstName];Der Tod von [From.GetFirstName];;El muerte de[From.GetFirstName];;;;;;;;;x
tribal_barony_of;Tribal lands of;Terres tribales de;Stammesland von;;Tierras Tribales de;;;;;;;;;x
EVTTITLE_CM_1010;The Lombard Princess;La princesse lombarde;Die lombardische Prinzessin;;La Princesa Lombarda;;;;;;;;;x
EVTDESC_CM_1010;My Lord, the power of your enemies are growing steadily, and while your vassals are surely loyal beyond doubt, it would perhaps be prudent to look for alliances outside the Frankish realm. If you would marry a daughter of the Lombard King, you could gain a powerful ally if things threaten to get out of hand due your brother's devious machinations.;Mon seigneur, vos ennemis deviennent plus puissants. Vos vassaux sont sans l'ombre d'un doute loyaux envers vous, mais il serait prudent de rechercher des alliances hors du royaume franc. Si vous épousez la fille du roi de Lombardie, vous pourriez gagner un puissant allié si les choses deviennent incontrôlables suite aux machinations de votre fourbe de frère.;Fürst, die Macht Eurer Feinde nimmt stetig zu. Auch wenn Eure Vasallen über jeden Zweifel erhaben sind, so wäre es doch für ratsam, sich um Bündnispartner außerhalb des Frankenreiches zu bemühen. Würdet Ihr die Tochter des Königs der Lombardei heiraten, gewännet Ihr einen mächtigen Verbündeten, der Euch gegen die Machenschaften Eures Bruders zur Seite stünde.;;Mi Señor, el poder de sus enemigos está creciendo incesantemente, sin duda sus vasallos le serán fieles, pero quizá sería prudente buscar alianzas fuera del reino de los francos. Si usted contrajera matrimonio con la hija del rey lombardo, conseguiría un poderoso aliado en caso de que las cosas amenazaran de írsenos de las manos a causa de las retorcidas maquinaciones de tu hermano.;;;;;;;;;x
EVTOPTA_CM_1010;Yes, this will be a good marriage.;Oui, ce sera un bon mariage.;Ja, das wäre eine gute Heirat.;;Sí, esto será un matrimonio bueno;;;;;;;;;x
EVTOPTB_CM_1010;No Lombards in my bed!;Je ne veux pas d'une lombarde dans mon lit !;Jemand aus der Lombardei kommt mir nicht ins Bett!;; ¡No lombardos en mi cama!;;;;;;;;;x
EVTTITLE_CM_1011;The Lombard Queen;La reine lombarde;Die lombardische Königin;;La Reina Lombarda;;;;;;;;;x
EVTDESC_CM_1011;My Lord, there is a lot of grumbling among the lords of the realm. While it is understood that your marriage to [Root.Spouse.GetFirstName] has great political utility, it is hard for many to accept that you have married a princess from the realm of our age-old enemies the Lombards. It has reached the point where you may even be losing the support of some nobles. But perhaps it is still not too late to rectify the situation...;Mon seigneur, les seigneurs du royaume sont très mécontents. Il est acquis que votre mariage avec [Root.Spouse.GetFirstName] était une excellente décision politique, mais beaucoup peinent à accepter le fait que vous ayez accepté d'épouser une princesse originaire d'un royaume qui fut longtemps notre ennemi juré. Nous en sommes à un point où vous pourriez perdre l'appui de certains nobles. Mais il n'est peut-être pas trop tard pour arranger la situation...;Fürst, im Reich herrscht viel Unzufriedenheit. Zwar verstehen die Fürsten, dass Eure Heirat mit [Root.Spouse.GetFirstName] einen gewissen politischen Nutzen hat, dennoch ist es für sie schwer zu akzeptieren, dass Ihr eine Prinzessin unseres langjährigen lombardischen Erzfeindes geheiratet habt. Bereits jetzt droht Euch der Verlust der Unterstützung einiger Adliger. Doch vielleicht ist es noch nicht zu spät für Gegenmaßnahmen zur Bereinigung der Situation ...;;Mi Señor, hay muchísimas quejas entre los señores del reino. Aunque comprenden que su matrimonio con [Root.Spouse.GetFirstName] es de gran utilidad política, les cuesta aceptar que se haya casado con una princesa perteneciente al viejo reino enemigo de los lombardos. Se ha llegado al punto de que podría incluso llegar a perder el apoyo de algunos nobles. Pero puede que aún no sea demasiado tarde para rectificar la situación...;;;;;;;;;x
EVTOPTA_CM_1011;I knew this was a bad idea. I'll renounce her.;Je savais que c'était une mauvaise idée, je vais la répudier.;Ich wusste, es war eine schlechte Idee. Ich werde mich von ihr lossagen.;;Sabía que no era una buena idea. Renunciaré a ella.;;;;;;;;;x
EVTOPTB_CM_1011;She is their Queen now. They must learn to accept it.;Elle est leur reine, ils devront s'y faire.;Sie ist die Königin. Damit müssen sie zurechtkommen.;;;;;;;;;;;x
EVTDESC_CM_1076;[From.GetDynName], the wife of the recently deceased [FromFrom.GetTitledName], has arrived at your gates, asking for refuge for herself and her offspring. She claims that her late husband's evil brother murdered him in cold blood in order to take control of the realm for himself, and now she fears for her life as well.;[From.GetDynName], la veuve de [FromFrom.GetTitledName], récemment décédé, se présente à votre porte et demande asile pour elle et ses enfants. Elle dit que le méchant frère de feu son mari l'a assassiné de sang-froid afin de prendre le contrôle du royaume, et elle craint pour sa vie désormais.;[From.GetDynName], die Frau des kürzlich verstorbenen [FromFrom.GetTitledName], bittet um Einlass und möchte, dass ihr und ihren Kindern Zuflucht gewährt wird. Sie behauptet, ihr Mann sei von seinem eigenen Bruder kaltblütig ermordet worden. Nun fürchtet auch sie um ihr Leben, denn ihr Schwager möchte das Reich an sich reißen.;;[From.GetDynName], la esposa del recientemente traspasado [FromFrom.GetTitledName], ha llamado a tu puerta pidiendo refugio para ella y sus retoños. Sostiene que el malvado hermano de su difunto marido le asesinó a sangre fría para hacerse con el control del reino, y ahora teme también por su vida.;;;;;;;;;x
EVTOPTA_CM_1076;You shall be welcome here.;Vous serez la bienvenue ici.;Seid willkommen.;;Usted será bienvenido aquí;;;;;;;;;x
EVTOPTB_CM_1076;I am sorry, this does not concern me.;Navré, cela ne me concerne pas.;Tut mir leid, das ist nicht mein Problem.;; Lo siento, esto no me importa;;;;;;;;;x
EVTDESC_CM_1077;Word reaches you that [FromFromFrom.GetFirstName]'s wife [FromFrom.GetDynName] has received refuge at the court of [From.GetTitledName]. Surely, there is a plot against you brewing here...;Le bruit court que la femme de [FromFromFrom.GetFirstName], [FromFrom.GetDynName], a trouvé refuge à la cour de [From.GetTitledName]. Ils sont certainement en train de comploter contre vous à l'heure qu'il est...;Wie man Euch mitgeteilt hat, wurde der Frau von [FromFromFrom.GetFirstName], [FromFrom.GetDynName], Zuflucht am Hofe von [From.GetTitledName] gewährt. Mit Sicherheit wird nun eine Verschwörung gegen Euch angezettelt ...;;Te ha llegado que [FromFrom.GetDynName], esposa de [FromFromFrom.GetFirstName] se ha refugiado en la corte de [From.GetTitledName]. Seguramente estén elaborando una conspiración contra ti...;;;;;;;;;x
EVTOPTA_CM_1077;This will not go unpunished.;Cela ne sera pas sans conséquence.;Das bleibt nicht ungesühnt.;;Esto no quedará impune.;;;;;;;;;x
EVTDESC_CM_1078;Your soldiers have brought [FromFromFrom.GetFirstName]'s family before you. [FromFrom.GetDynName] falls to her knees, begging you for mercy.;Vos soldats vous amènent la famille de [FromFromFrom.GetFirstName]. [FromFrom.GetDynName] tombe à genoux et implore votre miséricorde.;Eure Soldaten führen Euch die Familie von [FromFromFrom.GetFirstName] vor. [FromFrom.GetDynName] fällt auf die Knie und bettelt um Gnade.;;Tus soldados han traído la familia de [FromFromFrom.GetFirstName] ante ti. [FromFrom.GetDynName] se arrodilla, suplicando tu misericordia.;;;;;;;;;x
EVTOPTA_CM_1078;Lock them up in houses of God.;Envoyez-les dans des couvents.;Schließt sie in Gotteshäusern ein.;;Enciérralos en centros religiosos.;;;;;;;;;x
EVTOPTB_CM_1078;They must die, there is no other way.;Qu'ils meurent.;Sie müssen sterben. Es gibt keine Alternative.;;Deben morir, no hay otra solución;;;;;;;;;x
EVTDESC_CM_1080;[From.GetDynName] has appeared at your gate, begging for protecton. They are destitute and alone, woman and child. She speaks weakly and nervously: 'My Lord, I have nothing left and I throw myself at your feet and put faith in your mercy. Remember that it is not I but your brother that was your enemy'.;[From.GetDynName] se présente à vos portes et implore votre protection. Cette femme est démunie et seule avec son enfant. Sa voix est faible et tendue : 'Mon seigneur, je n'ai plus rien, je me jette à vos pieds et je m'en remets à votre miséricorde. Souvenez-vous que ce n'est pas moi votre ennemie, c'est mon frère.';[From.GetDynName] steht vor den Toren und bettelt um Schutz. Sie wirken heruntergekommen und allein, Mutter wie Kind. Mit leiser, angstvoller Stimme wendet sie sich an Euch: 'Mein Fürst, nichts ist mir geblieben. Deshalb werfe ich mich Euch zu Füßen und hoffe auf Eure Gnade. Bitte vergesst nicht, dass Euer Bruder, nicht ich, Euer Feind war.';;[From.GetDynName] ha aparecido ante tu puerta, suplicándote protección. Están solos y desamparados, mujer y niño. Insegura y nerviosa dice: “Mi Señor, no me queda nada, me postro a vuestros pies y confío en vuestra piedad. Recordad que vuestro enemigo no soy yo, sino vuestro hermano”.;;;;;;;;;x
EVTOPTA_CM_1080;To the convent with you.;Qu'elle aille au couvent.;Ins Kloster mit dir.;;Al convento contigo.;;;;;;;;;x
EVTOPTB_CM_1080;Snake-spawn must be killed ere they bite.;Cette famille est irrécupérable, tuez-les.;Schlangengezücht muss man töten, bevor es zubeißt.;;Las serpientes ponedoras deben matarse antes de que muerdan.;;;;;;;;;x
EVTTITLE_CM_1120;My brother's keeper;La gardienne de mon frère;Die Hüterin meines Bruders;;La guardiana de mi hermano;;;;;;;;;x
EVTDESC_CM_1120;Your mother comes to see you. 'My son, your brother's plotting against you is dangerous. I know you love him as dearly as I do, but something must be done. With your permission, I shall go see him and do what is needed to resolve this conflict. He must not come in the way of you fulfilling your destiny as ruler of all the Franks, but I fear a bloody war. Trust me, it will be better like this.'\n\nYou look thoughtfully at your mother, trying to read her mind. There is an odd look of determination in her eyes.;Votre mère vient vous parler. 'Mon fils, votre frère complote contre vous. Je sais que vous le chérissez autant que moi, mais il faut faire quelque chose. Avec votre permission, j'irai le voir et ferai le nécessaire pour résoudre ce conflit. Il ne doit pas entraver votre destin de roi de tous les Francs, et je crains une guerre sanglante. Faites-moi confiance, ce sera mieux ainsi.'\n\nVous contemplez pensivement votre mère, tentant de sonder son esprit. Son regard semble étrangement déterminé.;Eure Mutter sucht Euch auf und sagt: 'Mein Sohn, die Verschwörung Eures Bruders ist gefährlich. Es muss etwas unternommen werden, auch wenn ich weiß, dass Ihr ihn ebenso sehr liebt wie ich. Mit Eurer Erlaubnis werde ich ihn aufsuchen und tun, was getan werden muss, damit dieser Konflikt endet. Er darf Eurem Schicksal als Herrscher aller Franken nicht entgegenstehen, aber ich fürchte einen blutigen Krieg. Vertraut mir, es wird besser so sein.'\n\nIhr schaut nachdenklich zu Eurer Mutter und versucht, ihre Gedanken zu erahnen. In ihren Augen ist ein seltsamer Ausdruck der Entschlossenheit.;;Tu madre ha venido a verte. “Hijo mío, el complot de tu hermano contra ti es peligroso. Sé que lo quieres tanto como yo, pero algo hay que hacer. Si me lo permites, iré a verle y haré lo que sea necesario para resolver este conflicto. No debe entrometerse en tu camino, cumpliendo tu destino como gobernante de todos los francos, pero temo a una guerra sangrienta. Confía en mi, será mejor así.”\n\nMiras pensativo a tu madre, intentando leer su mente. Hay una extraña mirada de determinación en sus ojos.;;;;;;;;;x
EVTOPTA_CM_1120;Yes, Mother. Go and sort this out.;Oui, mère, allez résoudre ce problème.;Ja, Mutter. Geht und kümmert Euch darum.;;Si Madre, puedes ir y resolver esto;;;;;;;;;x
EVTOPTB_CM_1120;There is no point.;C'est inutile.;Das wäre sinnlos.;;No hay ninguna razón.;;;;;;;;;x
EVTDESC_CM_1121;Your mother Bertrada has arrived at the gate. She travels with a but a small escort and she is asking to see you. Shall we let her in?;Votre mère Bertrada se présente à vos portes. Elle ne voyage qu'avec une petite escorte et demande à vous voir. La laisserez-vous entrer ?;Eure Mutter Bertrada ist vor den Toren. Sie ist mit einem Minimum an Gefolge unterwegs und bittet um ein Treffen. Sollen wir sie einlassen?;;Tu madre Bertrada se ha presentado en la puerta. Viaja con una pequeña escolta y pide audiencia contigo. ¿Debemos dejarla entrar?;;;;;;;;;x
EVTOPTA_CM_1121;Yes, let her in.;Oui, qu'elle entre.;Ja, lasst sie herein.;;Sí, deja la entrar;;;;;;;;;x
EVTOPTB_CM_1121;I have nothing to say to that woman.;Je n'ai rien à dire à cette femme.;Ich habe dieser Frau nichts zu sagen.;;No tengo nada que decir a esa mujer;;;;;;;;;x
EVTTITLE_CM_1122;Mother and son;Mère et fils;Mutter und Sohn;; Madre y hijo;;;;;;;;;x
EVTDESC_CM_1122;As you dine with your mother that night, she speaks with you of your youth and of her great love for you: 'I know it pains you that I support your brother, but please let us speak of happier days. I would like to forget for a moment these troublesome times and spend the evening with you in intimacy and friendship. We can dine and reminisce, and you shall be my beloved son as always. Here, i brought some excellent wine for you to drink while we talk of old times.';Vous dînez le soir même avec votre mère. Elle vous parle de votre enfance et de son grand amour pour vous : 'Je sais que cela vous peine de me voir soutenir votre frère, mais je vous en prie, parlons d'un temps plus heureux. J'aimerais pour un temps oublier ces temps troubles et passer la soirée seule avec vous, en toute amitié. Nous pouvons manger et nous rappeler des souvenirs, et vous resterez toujours mon fils bien-aimé. Tenez, je vous ai apporté cet excellent vin à boire pendant que nous discuterons.';Als Ihr mit Eurer Mutter zu Abend esst, fängt sie an, von Eurer Jugend und von ihrer tiefen Liebe zu Euch zu sprechen: 'Ich weiß, dass es Euch betrübt, dass ich Euren Bruder unterstütze, aber lasst uns von glücklicheren Zeiten sprechen. Ich würde diese Ärgernisse gern eine Weile vergessen und einfach mit Euch in Frieden dinieren, denn Ihr seid nach wie vor mein geliebter Sohn. Hier, ich habe Euch einen schönen Wein mitgebracht, mit dem wir auf die alten Zeiten anstoßen können.';;Mientras cenas con tu madre, te habla de tu juventud y de su gran amor hacia ti: “Sé que te duele que apoye a tu hermano, pero por favor, hablemos de las épocas felices. Me gustaría olvidar por un momento estos abruptos tiempos y pasar el atardecer contigo en intimidad y amistosamente. Podemos cenar y recordar, y volverás a ser mi querido hijo de siempre. Te traigo un buen vino para beber mientras hablamos de los viejos tiempos.”;;;;;;;;;x
EVTOPTA_CM_1122;Ah, wine... good!;Ah, du vin... Fort bien !;Ah, Wein ... gut!;;¡Ah, vino... Que bien!;;;;;;;;;x
EVTOPTB_CM_1122;I don't trust you, mother. Please leave.;Je ne vous fais pas confiance, mère. Partez.;Mutter, ich kann Euch nicht vertrauen. Bitte geht.;;No confío en ti, madre. Por favor váyase;;;;;;;;;x
EVTDESC_CM_1123;Your mother left early this morning, before you woke. It was strange to see her again like that. You have a strange, slow pain in your stomach as well, and you feel rather weak. Maybe it's something you ate or drank.;Votre mère est partie tôt ce matin, avant votre réveil. La revoir ainsi en ces circonstances était étrange. Vous ressentez une douleur sourde à l'estomac, ainsi qu'une certaine faiblesse. Peut-être que votre repas de la veille a du mal à passer...;Eure Mutter ist bereits früh am Morgen aufgebrochen, als Ihr noch schlieft. Euer Treffen mit Ihr hinterlässt ein merkwürdiges Gefühl. Ebenso merkwürdig wie das Gefühl in Eurem Magen. Außerdem fühlt Ihr Euch irgendwie schwach ... Vielleicht habt Ihr etwas Falsches gegessen oder getrunken.;;Tu madre partió temprano esta mañana, antes de que tú te levantaras. Fue raro verla otra vez así. Además, tienes un extraño y ligero dolor de estómago y te sientes cada vez más débil. Puede que sea algo que hayas comido o bebido.;;;;;;;;;x
EVTOPTA_CM_1123;Something is wrong...;Quelque chose ne va pas...;Irgendetwas stimmt nicht ...;;Algo no va bien...;;;;;;;;;x
winter_soldier_desc;This character has mastered the art of fighting during winter and knows how to turn the fierce elements into an advantage.;Ce personnage a maîtrisé l'art du combat hivernal et sait comment utiliser la nature hostile à son avantage.;Dieser Charakter ist ein Meister des Kriegsführung im Winter und weiß, wie man die unbarmherzigen Elemente zu seinem Vorteil einsetzen kann.;; Este personaje ha dominado el arte de la lucha durante el invierno y sabe cómo sacar partido de la fuerza de los elementos.;;;;;;;;;x
BM_BM_CHARLEMAGNE_DESC;The mass destruction of the Old World was, in many ways, a godsend for the Indians of Old America. With the governments that once oppressed them destroyed, the Native Americans were free of the reservation system, and began expanding outwards once more. Unlike the days before the Indian Wars however, these revitalized nations are now a minority in their own lands, and have had to compromise their rule with Anglo-American vassals and acknowledgement of the Papacy in New Rome. In such a state, can the Indians survive in this new world?;;;;;;;;;;;;;x
tut_0a_15;Vassal Limit. Going over the limit will have a negative effect on the amount of taxes and levies you get from your vassals, and you might lose the grip of your vassals upon death. Remedy this by giving your vassals higher tier titles to allow them to have vassals on their own. Hover over the number to see where the limit is coming from.;Limite de vassaux. Dépasser cette limite aura un impact négatif sur les impôts et les troupes que vous recevrez de vos vassaux. De plus, certains pourraient se rebeller à votre mort. Remédiez à cette situation en donnant à vos vassaux des titres plus élevés pour leur permettre d'avoir eux-mêmes des vassaux. Placez votre pointeur sur le nombre pour comprendre d'où provient cette restriction.;Vasallenlimit: Wenn Ihr das Limit überschreitet, hat dies einen negativen Effekt auf die Steuer- und Truppentribute von Euren Vasallen. Nach Eurem Tod verliert Ihr außerdem unter Umständen die Kontrolle über bestimmte Vasallen. Ihr könnt dies verhindern, indem Ihr Euren Vasallen höhere Titel verleiht, so dass sie eigene Vasallen haben können. Bewegt die Maus über die Zahl, um zu erfahren, wie sich das Limit errechnet.;;Límite de Vasallos. Superar el límite tendrá un efecto negativo en la cantidad de impuestos recaudados y levas conseguidas de tus vasallos y, tras la muerte, puede que pierdas el control de tus vasallos. Esto se soluciona concediendo a tus vasallos títulos de más alto rango que les permitan tener sus propios vasallos. Pasa el cursor por encima el número para ver de dónde sale el límite.;;;;;;;;;x
tut_4a_8;If we for example want to make a character to like us a bit more, we can grant them an honorary title. Click the 'award honorary title' button. The Court Jester title is not very nice to give someone if you want to stay on their good side. Click Keeper of the Swans instead.;Si par exemple nous voulons que quelqu'un nous apprécie un peu plus, nous pouvons lui donner un titre honoraire. Cliquez sur 'donner un titre honoraire'. Le titre de bouffon de la cour n'est pas le meilleur choix si vous voulez que cette personne vous apprécie. Donnez-lui plutôt le titre de gardien des cygnes.;Wenn wir beispielsweise unser Ansehen bei einer bestimmten Person erhöhen möchten, können wir ihr einen Ehrentitel verleihen. Klickt hierzu auf die Schaltfläche 'Ehrentitel verleihen'. Es wäre nicht besonders nett, jemandem, der uns gewogen bleiben soll, den Titel Hofnarr zu verleihen. Klickt stattdessen auf 'Königlicher Schwanenhüter'.;;Si, por ejemplo, queremos a un personaje de gustarnos un poco más, le podemos conceder un título honorario. Haz clic en el botón “conceder título honorario”. El título de Bufón de la Corte no es el más adecuado para concederlo a alguien a quien quieres caer bien. En vez de ello haz clic en Cuidador de los Cisnes.;;;;;;;;;x
